#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
5000,109.99999999992504,-4473627.012322366,300.99067282418883,3483.631753570038,0.9586482615190732,0,--
10000,119.99999999990173,-4468415.710498414,300.26294468392985,3483.631753570038,0.9586482615190732,0.562,1:17:51:56
15000,129.99999999989262,-4471794.818759188,299.7784417950123,3483.631753570038,0.9586482615190732,0.558,1:17:42:54
20000,139.99999999994037,-4469477.077677324,300.28677824271233,3483.631753570038,0.9586482615190732,0.529,1:19:33:40
25000,149.99999999998812,-4472276.041004952,299.5004740184135,3483.631753570038,0.9586482615190732,0.49,1:22:33:42
30000,160.00000000003587,-4474160.418244683,300.7199439168904,3483.631753570038,0.9586482615190732,0.528,1:18:42:22
35000,170.00000000008362,-4473297.891579664,300.38625300771923,3483.631753570038,0.9586482615190732,0.555,1:16:15:07
40000,180.00000000013137,-4472995.482790357,300.08045742903715,3483.631753570038,0.9586482615190732,0.572,1:14:36:14
